timestamp,key,structure,time_ms,size_bytes
2026-02-10T11:06:59.102Z,Dmin,AABA,400,235
2026-02-10T11:07:00.696Z,C,AAB,445,229
2026-02-10T11:07:02.256Z,C,ABCD,420,465
2026-02-10T11:07:03.802Z,Eb,AB,368,195
2026-02-10T11:07:05.292Z,Bbmin,ABBCAAA,382,304
2026-02-10T11:07:06.818Z,Ab,AAAAA,392,126
2026-02-10T11:07:08.301Z,G,ABA,378,237
2026-02-10T11:07:09.860Z,D,AABA,417,227
2026-02-10T11:07:11.392Z,G,AABA,387,246
2026-02-10T11:07:12.930Z,F,ABCD,411,359
2026-02-10T11:07:14.605Z,Gmin,AB,432,182
2026-02-10T11:07:16.542Z,C,iAB,397,327
2026-02-10T11:07:18.067Z,Eb,AABA,387,199
2026-02-10T11:07:19.599Z,Bb,AABA,401,203
2026-02-10T11:07:21.160Z,F,AA,387,150
2026-02-10T11:07:22.697Z,Eb,BA,401,311
2026-02-10T11:07:24.234Z,F,AB,384,252
2026-02-10T11:07:25.756Z,F,ABA,387,184
2026-02-10T11:07:27.328Z,Bb,BBAv,402,324
2026-02-10T11:07:28.965Z,C,BBAA,411,194
2026-02-10T11:07:30.481Z,Bb,AABA,392,218
2026-02-10T11:07:32.048Z,Eb,A,389,116
2026-02-10T11:07:33.560Z,Cmin,ABB,386,166
2026-02-10T11:07:35.115Z,Ab,A,404,107
2026-02-10T11:07:36.634Z,F,AABA,399,266
2026-02-10T11:07:38.200Z,Ab,ABAC,389,315
2026-02-10T11:07:39.817Z,Bb,AB,392,218
2026-02-10T11:07:41.368Z,Amin,ABAC,398,385
2026-02-10T11:07:42.945Z,Eb,AABAA,395,341
2026-02-10T11:07:44.461Z,Bb,ABA,372,247
2026-02-10T11:07:46.028Z,Cmin,AABA,389,223
2026-02-10T11:07:47.582Z,Eb,AABAi,402,285
2026-02-10T11:07:49.149Z,G,ABAD,426,406
2026-02-10T11:07:50.767Z,C,AABAAAA,403,236
2026-02-10T11:07:52.467Z,Bb,iiAAB,485,287
2026-02-10T11:07:54.384Z,C,AABA,506,267
2026-02-10T11:07:56.210Z,Ab,AAAB,474,227
2026-02-10T11:07:58.054Z,G,ABAC,478,346
2026-02-10T11:08:00.386Z,F,iAABA,487,291
2026-02-10T11:08:02.295Z,F,ABCD,509,430
2026-02-10T11:08:04.193Z,F,AABA,477,187
2026-02-10T11:08:06.052Z,Bb,A,472,133
2026-02-10T11:08:07.834Z,Eb,AB,476,241
2026-02-10T11:08:09.716Z,G,iiAAAA,528,212
2026-02-10T11:08:11.569Z,Dmin,AABA,472,222
2026-02-10T11:08:12.550Z,Amin,ABAC,480,301
2026-02-10T11:08:14.505Z,C,AABA,536,372
2026-02-10T11:08:16.149Z,G,vAB,373,292
2026-02-10T11:08:16.992Z,Eb,AABAA,409,303
2026-02-10T11:08:18.513Z,G,AABA,403,350
2026-02-10T11:08:20.038Z,Bb,ABAC,398,359
2026-02-10T11:08:21.616Z,C#min,BBAA,384,179
2026-02-10T11:08:23.118Z,Db,A,387,179
2026-02-10T11:08:24.590Z,Eb,AABA,398,273
2026-02-10T11:08:25.423Z,Eb,AABA,383,205
2026-02-10T11:08:26.926Z,Eb,AABA,381,176
2026-02-10T11:08:28.457Z,Ab,AB,388,242
2026-02-10T11:08:29.927Z,F,AABA,404,272
2026-02-10T11:08:31.427Z,A,AABA,406,234
2026-02-10T11:08:32.987Z,Db,AABA,413,257
