key;structure;modulation;num_sections;response_size_bytes;response_json;computation_time_ms
Random;A;Random;1;143;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb,Eb|C7,F7|Fm7,Bb7sus|Bb7b9|Ebm7,Ab7|Ebmaj7,Bbm7|Eb7,Ab7|Gm7,Cm7"",""label"":""A"",""key"":""Eb""}]};795
Random;A;Random;1;131;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bb7|Eb7,Bb7|Eb6|Gm7,C7|F7|F7#5,Bb6|Am7,Ab7|Db6,Ebmaj7"",""label"":""A"",""key"":""Bb""}]};798
Random;A;Random;1;123;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Dm7,G7|C6|Eb07,Dm7|G7|Em7,Am7|Dm,Gm7|C7,Em7|Am7"",""label"":""A"",""key"":""C""}]};787
Random;A;Random;1;147;{""key"":""E"",""structure"":""A"",""sections"":[{""chords"":""G#m9,Emaj7#11|E,E|Bbmaj7#11,E|E,Bbmaj7#11|E,F#m7|B7,E6|B7,Ab7alt|Db7alt"",""label"":""A"",""key"":""E""}]};749
Random;A;Random;1;111;{""key"":""Bbmin"",""structure"":""A"",""sections"":[{""chords"":""Bbm7|Ab7|Dbmaj7|Bb7|B7|Bbm7"",""label"":""A"",""key"":""Bbmin""}]};754
Random;A;Random;1;147;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7,Fmaj7|Bbm7,Bmaj7|Bmaj7,Emaj7|Am7|Gm7,C7|Fmaj7|Bm7,C#7,F#m7,Bm7|E7"",""label"":""A"",""key"":""F""}]};759
Random;A;Random;1;140;{""key"":""D"",""structure"":""A"",""sections"":[{""chords"":""D69|C69,Ab7#11|Gmaj7|Gmaj7,F#m7|Bm7,Em7|Em7,A7|Dmaj7|Dmaj7,Dmaj7"",""label"":""A"",""key"":""D""}]};743
Random;A;Random;1;106;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Ab|Ab,Ab|Db|D07|Ab|Ab|Ab7|G7"",""label"":""A"",""key"":""Ab""}]};751
Random;A;Random;1;107;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Db7|D07|Ab6|A07,Bbm7|Dbm6|Ab6"",""label"":""A"",""key"":""Ab""}]};772
Random;A;Random;1;114;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7|Fmaj7,Gm7|C7,Fmaj7|Gm7,Gb7|Fmaj7"",""label"":""A"",""key"":""F""}]};776
Random;A;Random;1;109;{""key"":""Cmin"",""structure"":""A"",""sections"":[{""chords"":""Cm7|Ab7|Db7|Db7|Cm7|Cm7|Cm6"",""label"":""A"",""key"":""Cmin""}]};740
Random;A;Random;1;143;{""key"":""Dmin"",""structure"":""A"",""sections"":[{""chords"":""Dm6,Fmaj7|Dm7,Cm7|F7,Bb6|Gm7,Bbm6|C7|Cm7,Cm7|F7,Bb7|A7,Abmaj7"",""label"":""A"",""key"":""Dmin""}]};761
Random;A;Random;1;149;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bb|Bb|F7|Bb6|G7|C7|Ebmaj7|Ebm7|Ab7b9|Dbmaj7|Cm7b5|F7|Bb6|F7|Fm7,Bb7|Bb7"",""label"":""A"",""key"":""Bb""}]};776
Random;A;Random;1;228;{""key"":""Ab"",""structure"":""A"",""sections"":[{""chords"":""Ab6,Bb7|Bbm7,Eb7|Abmaj7,Gm7|C7b13,Fm7,Gm7,Em7b5|A7b13,Dm7|G7,C7|Fmaj7,F13|F7b13|Bb13,Bb7b13|Eb9,Eb7b9|Abmaj7,Ab7|Db7,Db7,C7,C7|F7,Bbm7|Eb7,Bbm7|Eb7|D7"",""label"":""A"",""key"":""Ab""}]};757
Random;A;Random;1;137;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Eb6,Db7,Gm7|Cm7,F7|Fm7,E7|Fm7,Fm7|Bb7,Eb6,Dm7|Ebm7,Bbm|Ebm7"",""label"":""A"",""key"":""Eb""}]};761
Random;A;Random;1;177;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bbmaj7,Bb07|Bb6,B07,Cm7,Ebm|Ebm,Ebm,Bbmaj7,Fm7|Bb7,Bb7|Ebmaj7,Dm7b5|G7b9,Gm7,Cm7,Cm7|Dm7,G7|C7#9,F7"",""label"":""A"",""key"":""Bb""}]};729
Random;A;Random;1;135;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""F6,D7|Gm7,D7b9|Gm7,C7|F6,C7|Eb7,Eb7|Fmaj7,E7sus|E7alt,E7alt"",""label"":""A"",""key"":""F""}]};796
Random;A;Random;1;131;{""key"":""Dmin"",""structure"":""A"",""sections"":[{""chords"":""Dm|Dm7,Em7b5|A7b9,Dm|Dm|Bb7,A7b9|Gm7,A7,Dmaj7,Bm7"",""label"":""A"",""key"":""Dmin""}]};779
Random;A;Random;1;92;{""key"":""F"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7,Dm7|G7,Gm7"",""label"":""A"",""key"":""F""}]};763
Random;A;Random;1;107;{""key"":""Amin"",""structure"":""A"",""sections"":[{""chords"":""Am|Am,Am|Am|Am|Am,G|Eb,Bb"",""label"":""A"",""key"":""Amin""}]};792
Random;A;Random;1;171;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Dm7|G7|Bb7,Ebmaj7|Abmaj7,Abmaj7|G7b9|Cmaj7|Am7,Dm7|G7|C6|G7#5|Gm7|C7|Fmaj7,Bm7b5|E7b9,Am7|D7|D7"",""label"":""A"",""key"":""C""}]};748
Random;A;Random;1;96;{""key"":""Eb"",""structure"":""A"",""sections"":[{""chords"":""Fm7|Bb7|Db7|Gm7,C7"",""label"":""A"",""key"":""Eb""}]};774
Random;A;Random;1;151;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bb7|Bb7|Bb7|Bb7|Eb7|Dm7|Ebmaj7|D7sus|D7|Db7|Cm7|Fm7|Bb7sus|Bb7|Eb7|Ab7#11"",""label"":""A"",""key"":""Bb""}]};760
Random;A;Random;1;112;{""key"":""C"",""structure"":""A"",""sections"":[{""chords"":""Cmaj7|Em7|A7|Ab7|Ab7|Dm7|G7|C6|G7|C6"",""label"":""A"",""key"":""C""}]};751
Random;A;Random;1;126;{""key"":""Db"",""structure"":""A"",""sections"":[{""chords"":""Dbmaj7#11|Dbmaj7#11|Gm7|C7|Fm6|Fm6|Fm6,Fm6|Gm7b5"",""label"":""A"",""key"":""Db""}]};744
Random;A;Random;1;115;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bbmaj7|G7#5|C7|C7|Cm7|F7,Fm7|Bb7#5|B7"",""label"":""A"",""key"":""Bb""}]};774
Random;A;Random;1;126;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Fmaj7|Dm7,G7|Cm7|F7,Dm7|Ebmaj7|Ebm6|F7|Bbmaj7,G7"",""label"":""A"",""key"":""Bb""}]};742
Random;A;Random;1;147;{""key"":""Bb"",""structure"":""A"",""sections"":[{""chords"":""Bbmaj7|G7,G7|G7,Cm7|Dm7,Db07|Cm7|F7,Bb6|G7|Cm7,F7|F7|Dm7|G7,C7|C7,Cm7"",""label"":""A"",""key"":""Bb""}]};743
