timestamp;time_ms_chords;time_ms_improvisor;info_chords;info_improvisor;size_bytes_chords;size_bytes_improvisor;size_bytes_sent_to_client
2026-02-10T11:05:42.679Z;406;1120;Db|ABAC|3;John Coltrane|130|4972;316;5005;5351
2026-02-10T11:05:44.227Z;414;1129;Bmin|AABA|2;John Coltrane|115|3172;183;3205;3418
2026-02-10T11:05:45.707Z;387;1089;Bb|ABBA|2;John Coltrane|132|3036;212;3069;3311
2026-02-10T11:05:47.228Z;391;1125;C|iiAA|2;John Coltrane|182|3220;226;3253;3509
2026-02-10T11:05:48.710Z;402;1077;C|A|1;John Coltrane|160|1072;103;1105;1238
2026-02-10T11:05:50.259Z;418;1127;F|A|1;John Coltrane|249|1752;144;1785;1959
2026-02-10T11:05:51.658Z;398;997;Dmin|A|1;John Coltrane|177|1212;118;1244;1392
2026-02-10T11:05:53.156Z;388;1104;Bb|AA|1;John Coltrane|280|1156;113;1189;1332
2026-02-10T11:05:54.653Z;388;1104;C|AABA|2;John Coltrane|233|2480;254;2513;2797
2026-02-10T11:05:56.227Z;401;1169;Bb|ABAC|3;John Coltrane|105|4280;293;4313;4636
2026-02-10T11:05:57.747Z;396;1119;C|AABA|2;John Coltrane|161|2612;217;2645;2892
2026-02-10T11:05:59.276Z;396;1125;F|AA|1;John Coltrane|236|1256;127;1289;1446
2026-02-10T11:06:00.772Z;390;1102;C|iAAB|3;John Coltrane|129|3376;295;3409;3734
2026-02-10T11:06:02.317Z;392;1149;Ab|ABAC|3;John Coltrane|134|5668;314;5701;6045
2026-02-10T11:06:03.915Z;413;1181;Db|AABA|2;John Coltrane|286|2396;206;2429;2665
2026-02-10T11:06:05.428Z;368;1140;Eb|ABAC|3;John Coltrane|223|2676;278;2709;3017
2026-02-10T11:06:06.946Z;404;1109;Amin|AAB|2;John Coltrane|165|2856;231;2889;3150
2026-02-10T11:06:08.452Z;389;1112;Bb|AA|1;John Coltrane|218|1340;154;1373;1557
2026-02-10T11:06:10.004Z;402;1144;Ab|ABA|2;John Coltrane|210|3680;265;3713;4008
2026-02-10T11:06:11.514Z;410;1094;Fmin|AA|1;John Coltrane|118|1720;115;1753;1898
2026-02-10T11:06:13.040Z;417;1104;F|A|1;John Coltrane|242|1024;132;1057;1219
2026-02-10T11:06:14.599Z;411;1145;Bb|AB|2;John Coltrane|159|3588;247;3621;3898
2026-02-10T11:06:16.111Z;390;1117;Ab|A|1;John Coltrane|255|1200;111;1233;1374
2026-02-10T11:06:17.619Z;401;1101;Eb|AABA|2;John Coltrane|235|2636;228;2669;2927
